"Country","Date","RR","GP","P","TS","W","R"
"United Arab Emirates",2020-02-15,0.833333333333333,4,5.5,2.83333333333333,2.5,0.5
"United Arab Emirates",2021-08-05,-3.66666666666667,15,-37,-35.5,-12.5,7.83333333333333
"Afghanistan",2020-02-15,-11,-11,-7,-2,-33.5,5.5
"Afghanistan",2021-08-05,63,73.5,47.5,11,8.5,-1
"Antigua and Barbuda",2020-02-15,-6,-1,-6,-1,0,3
"Antigua and Barbuda",2021-08-05,29,20.5,85.5,-28.5,-23,-9
"Angola",2020-02-15,1.5,-2,5,1.5,1.5,1
"Angola",2021-08-05,44.5,60,77,-37,0.5,-5
"Argentina",2020-02-15,0.475138121546961,-1.96685082872928,-2.15469613259669,0.0883977900552486,-0.138121546961326,0.596685082872928
"Argentina",2021-08-05,-7.32989690721649,26.360824742268,-34.7474226804124,-21.9742268041237,11.4896907216495,4.14948453608247
"Austria",2020-02-15,8.38888888888889,2.5,41.8333333333333,15.5555555555556,-0.444444444444444,-1.61111111111111
"Austria",2021-08-05,3.06666666666667,17.2,91.5333333333333,-4.9,-34.4666666666667,4.43333333333333
"Australia",2020-02-15,3.74038461538462,5.78846153846154,1.29807692307692,5.90384615384615,2.38461538461538,0.0480769230769231
"Australia",2021-08-05,-13.695652173913,8.78985507246377,-8.95652173913044,-46.036231884058,-18.3550724637681,12.0797101449275
"Aruba",2020-02-15,2,3,12,26,-2,-2
"Aruba",2021-08-05,10,6,63,-26,-19,-5
"Bosnia and Herzegovina",2020-02-15,8,6,16,3,1,-1
"Bosnia and Herzegovina",2021-08-05,35,83,93,29,-26,-13
"Barbados",2020-02-15,1,0,4,2,0,0
"Barbados",2021-08-05,13,12,10,-25.5,-21.5,-4
"Bangladesh",2020-02-15,4,6,10,7,8,1
"Bangladesh",2021-08-05,-6,40,15,-3,2,13
"Belgium",2020-02-15,3.14285714285714,1.07142857142857,23.4285714285714,7.42857142857143,1.07142857142857,-0.857142857142857
"Belgium",2021-08-05,17.1428571428571,19.9285714285714,144,-20.5,-43.5,8.71428571428571
"Burkina Faso",2020-02-15,1.5,0.5,1,0,5.5,-1
"Burkina Faso",2021-08-05,45,119,95,50,-35,4
"Bulgaria",2020-02-15,-1.94444444444444,-0.388888888888889,-15.6666666666667,-0.222222222222222,-0.944444444444444,0.555555555555556
"Bulgaria",2021-08-05,27.8666666666667,37.4,156.4,53.5333333333333,-27.6,-3.46666666666667
"Bahrain",2020-02-15,-3,3,-11,-1,3,1
"Bahrain",2021-08-05,-3,7,-33,7,-12,7
"Benin",2020-02-15,4,2.5,0,2,1.5,-0.5
"Benin",2021-08-05,19,107,76,13,-3,-4
"Bolivia",2020-02-15,2.34782608695652,4.60869565217391,1.47826086956522,-4.30434782608696,8.78260869565217,0.434782608695652
"Bolivia",2021-08-05,20.8260869565217,38.0869565217391,7.82608695652174,11.4782608695652,0.260869565217391,1.78260869565217
"Brazil",2020-02-15,2.45429362880886,1.9196675900277,1.46260387811634,0.373961218836565,5.34349030470914,-0.0166204986149584
"Brazil",2021-08-05,-0.527950310559006,45.2142857142857,-10.3975155279503,3.4472049689441,13.2888198757764,5.56521739130435
"The Bahamas",2020-02-15,0,-2.5,12.5,10,-0.5,-1
"The Bahamas",2021-08-05,-8.5,5,19.5,-6,-26,-9.5
"Botswana",2020-02-15,2,-2,-0.5,-10,8,0
"Botswana",2021-08-05,28.5,92,54,36.5,-15.5,7.5
"Belarus",2020-02-15,10,9,21,11,4,-1
"Belarus",2021-08-05,-3,16,35,0,-35,-4
"Belize",2020-02-15,10,4,18,19,4,-2
"Belize",2021-08-05,16.6666666666667,27,44.6666666666667,-14.6666666666667,-24.6666666666667,-0.666666666666667
"Canada",2020-02-15,2.125,0.703125,15.390625,4.921875,-0.359375,-0.171875
"Canada",2021-08-05,0.760869565217391,17.4130434782609,142.108695652174,-39.0652173913044,-37.0434782608696,7.28260869565217
"Switzerland",2020-02-15,1.78571428571429,0.214285714285714,36.5,11.3571428571429,-1.64285714285714,-1.21428571428571
"Switzerland",2021-08-05,-6.83333333333333,9.41666666666667,88.75,-13.4166666666667,-36.1666666666667,5.25
"Côte d'Ivoire",2020-02-15,3,0.5,10,3,-1,-1
"Côte d'Ivoire",2021-08-05,42.5,118.5,25,65.5,1,1
"Chile",2020-02-15,7.94444444444444,7.03703703703704,14.0925925925926,13,-2.46296296296296,-0.0555555555555556
"Chile",2021-08-05,-6.09259259259259,14.9814814814815,-27.3333333333333,-3.64814814814815,6.64814814814815,10.8148148148148
"Cameroon",2020-02-15,-0.333333333333333,1.66666666666667,-2.16666666666667,4.83333333333333,2.33333333333333,1.16666666666667
"Cameroon",2021-08-05,20.1666666666667,64.3333333333333,1,65.8333333333333,-8,-1.33333333333333
"Colombia",2020-02-15,-1.34375,0.53125,-5.75,-11.8125,5.953125,1.078125
"Colombia",2021-08-05,7.08333333333333,36.0833333333333,4.8,8.95,1.7,5.75
"Costa Rica",2020-02-15,5,10,4,2,4,0
"Costa Rica",2021-08-05,-18,4,-35,-25,-15,5
"Cape Verde",2020-02-15,1,-3,-3,-4,0,1
"Cape Verde",2021-08-05,2,10,33,-30,-39,1
"Czechia",2020-02-15,15.3725490196078,9.35294117647059,41.7058823529412,16.7647058823529,3.86274509803922,-2.23529411764706
"Czechia",2021-08-05,6.53658536585366,22.4146341463415,48.6341463414634,1.51219512195122,-32.7560975609756,6.78048780487805
"Germany",2020-02-15,5.47058823529412,1.35294117647059,46.6470588235294,10.5294117647059,-0.235294117647059,-1
"Germany",2021-08-05,8.76470588235294,16.5294117647059,159,-6.82352941176471,-27.7647058823529,5.23529411764706
"Denmark",2020-02-15,-2.3,-1.7,-2.9,0.9,-5.9,-0.2
"Denmark",2021-08-05,22.1111111111111,8.77777777777778,295.111111111111,-12.3333333333333,-40.7777777777778,4.88888888888889
"Dominican Republic",2020-02-15,0.222222222222222,6.33333333333333,-1,-3.55555555555556,-1.33333333333333,0.333333333333333
"Dominican Republic",2021-08-05,1,28.2,-12.1,12.2,-25.2,-1.5
"Ecuador",2020-02-15,4.66666666666667,0.0909090909090909,0.515151515151515,1.12121212121212,-3,0.151515151515152
"Ecuador",2021-08-05,28.7096774193548,46.258064516129,10.4516129032258,18.5161290322581,-19.1290322580645,7.06451612903226
"Estonia",2020-02-15,3.66666666666667,0.666666666666667,-12.3333333333333,1,2.66666666666667,0
"Estonia",2021-08-05,19,23,138,-5.5,-34,2.5
"Egypt",2020-02-15,4.76190476190476,6.38095238095238,6.61904761904762,7.23809523809524,4.71428571428571,0
"Egypt",2021-08-05,14.3,103.3,46.3,1.15,-5.95,-7
"Spain",2020-02-15,3.80327868852459,-0.754098360655738,28.2295081967213,8.54098360655738,0.213114754098361,-1.91803278688525
"Spain",2021-08-05,9.88709677419355,27.5967741935484,135.838709677419,12.1612903225806,-32.9677419354839,1.69354838709677
"Finland",2020-02-15,4.42857142857143,1.92857142857143,-5.75,7.17857142857143,-1.5,-0.321428571428571
"Finland",2021-08-05,8.72727272727273,16.0909090909091,203.545454545455,-20.0909090909091,-44.5454545454545,4.81818181818182
"Fiji",2020-02-15,4,1,1,4,4,1
"Fiji",2021-08-05,-11,6,-17,-50,-32,25
"France",2020-02-15,0.785046728971963,-0.981308411214953,27.803738317757,30.214953271028,-0.953271028037383,-0.588785046728972
"France",2021-08-05,17.7572815533981,38.5922330097087,213.533980582524,21.8640776699029,-41.3300970873786,6.32038834951456
"Gabon",2020-02-15,0,-4,-1,0,4,1
"Gabon",2021-08-05,23,27,110,24,-13,-12
"United Kingdom",2020-02-15,-11.1297935103245,-5.49852507374631,-36.7758112094395,-11.1445427728614,-3.93510324483776,2.36578171091445
"United Kingdom",2021-08-05,1.81144781144781,9.20875420875421,75.8552188552189,-26.5690235690236,-41.9326599326599,10.1346801346801
"Georgia",2020-02-15,3,6.5,-0.5,4,3.5,-0.5
"Georgia",2021-08-05,10.5,34.5,64.5,-6.5,-29.5,-2.5
"Ghana",2020-02-15,0,-1.33333333333333,2.33333333333333,-3.33333333333333,1,0.333333333333333
"Ghana",2021-08-05,33,61.3333333333333,2.33333333333333,32,-1.66666666666667,11
"Greece",2020-02-15,-1.625,0.625,-9.75,2.25,0.75,1.625
"Greece",2021-08-05,72.625,86.125,354.25,149.5,-16,-6.875
"Guatemala",2020-02-15,5.89473684210526,3.42105263157895,2.47368421052632,4.63157894736842,2.73684210526316,-2
"Guatemala",2021-08-05,2.85,22.25,-12.7,-21.8,-15.9,7.1
"Guinea-Bissau",2020-02-15,-1,NA,NA,NA,4,NA
"Guinea-Bissau",2021-08-05,NA,NA,-10,NA,-14,NA
"Hong Kong",2020-02-15,-26,-4,-26,-34,-18,14
"Hong Kong",2021-08-05,-7,29,-33,-3,4,5
