"Country","Date","RR","GP","P","TS","W","R"
"United Arab Emirates",2021-08-05,-3.66666666666667,15,-37,-35.5,-12.5,7.83333333333333
"Afghanistan",2021-08-05,63,73.5,47.5,11,8.5,-1
"Antigua and Barbuda",2021-08-05,29,20.5,85.5,-28.5,-23,-9
"Angola",2021-08-05,44.5,60,77,-37,0.5,-5
"Argentina",2021-08-05,-7.32989690721649,26.360824742268,-34.7474226804124,-21.9742268041237,11.4896907216495,4.14948453608247
"Austria",2021-08-05,3.06666666666667,17.2,91.5333333333333,-4.9,-34.4666666666667,4.43333333333333
"Australia",2021-08-05,-13.695652173913,8.78985507246377,-8.95652173913044,-46.036231884058,-18.3550724637681,12.0797101449275
"Aruba",2021-08-05,10,6,63,-26,-19,-5
"Bosnia and Herzegovina",2021-08-05,35,83,93,29,-26,-13
"Barbados",2021-08-05,13,12,10,-25.5,-21.5,-4
"Bangladesh",2021-08-05,-6,40,15,-3,2,13
"Belgium",2021-08-05,17.1428571428571,19.9285714285714,144,-20.5,-43.5,8.71428571428571
"Burkina Faso",2021-08-05,45,119,95,50,-35,4
"Bulgaria",2021-08-05,27.8666666666667,37.4,156.4,53.5333333333333,-27.6,-3.46666666666667
"Bahrain",2021-08-05,-3,7,-33,7,-12,7
"Benin",2021-08-05,19,107,76,13,-3,-4
"Bolivia",2021-08-05,20.8260869565217,38.0869565217391,7.82608695652174,11.4782608695652,0.260869565217391,1.78260869565217
"Brazil",2021-08-05,-0.527950310559006,45.2142857142857,-10.3975155279503,3.4472049689441,13.2888198757764,5.56521739130435
"The Bahamas",2021-08-05,-8.5,5,19.5,-6,-26,-9.5
"Botswana",2021-08-05,28.5,92,54,36.5,-15.5,7.5
"Belarus",2021-08-05,-3,16,35,0,-35,-4
"Belize",2021-08-05,16.6666666666667,27,44.6666666666667,-14.6666666666667,-24.6666666666667,-0.666666666666667
"Canada",2021-08-05,0.760869565217391,17.4130434782609,142.108695652174,-39.0652173913044,-37.0434782608696,7.28260869565217
"Switzerland",2021-08-05,-6.83333333333333,9.41666666666667,88.75,-13.4166666666667,-36.1666666666667,5.25
"Côte d'Ivoire",2021-08-05,42.5,118.5,25,65.5,1,1
"Chile",2021-08-05,-6.09259259259259,14.9814814814815,-27.3333333333333,-3.64814814814815,6.64814814814815,10.8148148148148
"Cameroon",2021-08-05,20.1666666666667,64.3333333333333,1,65.8333333333333,-8,-1.33333333333333
"Colombia",2021-08-05,7.08333333333333,36.0833333333333,4.8,8.95,1.7,5.75
"Costa Rica",2021-08-05,-18,4,-35,-25,-15,5
"Cape Verde",2021-08-05,2,10,33,-30,-39,1
"Czechia",2021-08-05,6.53658536585366,22.4146341463415,48.6341463414634,1.51219512195122,-32.7560975609756,6.78048780487805
"Germany",2021-08-05,8.76470588235294,16.5294117647059,159,-6.82352941176471,-27.7647058823529,5.23529411764706
"Denmark",2021-08-05,22.1111111111111,8.77777777777778,295.111111111111,-12.3333333333333,-40.7777777777778,4.88888888888889
"Dominican Republic",2021-08-05,1,28.2,-12.1,12.2,-25.2,-1.5
"Ecuador",2021-08-05,28.7096774193548,46.258064516129,10.4516129032258,18.5161290322581,-19.1290322580645,7.06451612903226
"Estonia",2021-08-05,19,23,138,-5.5,-34,2.5
"Egypt",2021-08-05,14.3,103.3,46.3,1.15,-5.95,-7
"Spain",2021-08-05,9.88709677419355,27.5967741935484,135.838709677419,12.1612903225806,-32.9677419354839,1.69354838709677
